id,carat,cut,color,clarity,depth,table,x,y,z,price
721,1.02,Premium,,I1,61.8,61.0,6.44,6.38,3.96,2035
722,2.01,Ideal,,SI2,62.5,55.0,8.14,8.07,5.06,18114
723,0.56,Premium,E,VS1,61.4,58.0,5.31,5.34,3.27,2137
724,0.31,Very Good,F,VS2,62.9,58.0,4.28,4.32,2.7,625
725,1.07,Very Good,,VS1,63.3,58.0,6.49,6.45,4.1,7332
726,0.32,Premium,I,VVS2,62.2,58.0,4.37,4.34,2.71,756
727,,Premium,,VS2,60.4,60.0,5.21,5.16,3.13,1814
728,0.91,Premium,F,SI2,61.2,61.0,6.24,6.21,3.81,3546
729,0.31,Ideal,F,VS2,61.7,56.0,4.38,4.37,2.7,749
730,0.51,Ideal,,IF,61.9,56.0,5.15,5.18,3.2,2289
731,0.41,Premium,G,VS2,59.8,58.0,4.91,4.88,2.92,1107
732,0.35,Very Good,E,VS2,62.4,58.0,4.51,4.53,2.81,677
733,,Ideal,E,SI1,61.7,57.0,5.13,5.16,3.18,1577
734,0.3,Ideal,H,SI1,61.7,56.0,4.31,4.35,2.67,457
735,0.2,Premium,E,VS2,61.8,59.0,3.82,3.78,2.32,367
736,0.39,Premium,,SI1,60.9,60.0,4.75,4.7,2.88,884
737,0.3,Ideal,E,VVS2,60.4,57.0,4.37,4.35,2.63,814
738,,Premium,,VS2,61.4,60.0,4.4,4.37,2.69,802
739,0.59,Premium,,VVS1,61.8,58.0,5.42,5.4,3.34,2187
740,1.22,Premium,,VVS1,61.8,59.0,6.92,6.85,4.26,9863
741,,Premium,D,SI1,59.9,60.0,4.62,4.58,2.75,663
742,1.08,Ideal,J,SI1,61.3,57.0,6.65,6.57,4.05,4257
743,1.2,Very Good,,SI1,62.1,58.0,6.8,6.84,4.23,6288
744,,Ideal,I,SI1,62.2,56.0,6.88,6.92,4.29,5763
745,1.0,Ideal,J,VS2,61.5,57.0,6.44,6.35,3.94,3808
746,0.52,Very Good,E,VS2,62.8,57.0,5.13,5.16,3.23,1689
747,1.26,Very Good,G,VVS2,59.8,58.0,7.01,7.05,4.19,9332
748,0.31,Ideal,G,VVS1,61.4,55.0,4.38,4.36,2.69,1046
749,0.4,Ideal,G,VVS2,62.3,57.0,4.79,4.76,2.96,1050
750,,Ideal,G,VS2,61.3,57.0,6.85,6.88,4.21,8669
751,0.72,Ideal,F,SI1,61.7,56.0,5.74,5.76,3.55,2631
752,0.71,Premium,J,VS2,61.8,58.0,5.68,5.71,3.52,2057
753,0.3,Very Good,F,VVS1,62.4,57.0,4.31,4.34,2.69,530
754,2.25,Very Good,J,SI1,62.9,56.0,8.29,8.33,5.24,13659
755,,Ideal,H,SI1,61.4,56.0,6.47,6.4,3.95,4419
756,,Very Good,D,SI2,62.9,59.0,4.24,4.29,2.68,462
757,0.34,Premium,E,VS1,59.3,58.0,4.56,4.51,2.7,984
758,,Very Good,H,SI1,61.7,58.0,7.35,7.38,4.55,10450
759,0.4,Ideal,,VS2,61.4,55.0,4.79,4.76,2.94,850
760,0.7,Premium,E,VS2,61.7,62.0,5.71,5.68,3.51,2833
761,,Ideal,F,SI1,62.6,57.0,5.07,5.13,3.19,1250
762,1.22,Premium,H,VS2,62.9,59.0,6.79,6.76,4.26,6438
763,0.52,Very Good,H,SI1,61.7,60.0,5.17,5.14,3.18,1194
764,,Ideal,E,SI1,61.7,57.0,6.4,6.44,3.96,4853
765,0.42,Premium,G,VS2,62.4,59.0,4.82,4.77,2.99,1024
766,0.8,Very Good,E,SI1,62.5,58.0,5.9,5.95,3.71,3380
767,0.32,Ideal,D,SI1,63.0,56.0,4.4,4.37,2.77,756
768,1.55,Ideal,D,SI2,61.8,56.0,7.42,7.49,4.61,8530
769,0.6,Premium,,VS1,61.4,59.0,5.39,5.41,3.32,2313
770,0.3,Ideal,G,VS2,61.9,57.0,4.27,4.3,2.65,506
771,2.05,Very Good,,SI2,63.2,56.0,8.1,8.03,5.11,12587
772,2.1,Premium,,VS2,62.1,55.0,8.17,8.12,5.07,18559
773,0.3,Ideal,,VVS1,62.0,56.0,4.31,4.34,2.68,779
774,1.06,Ideal,H,VS2,61.3,57.0,6.55,6.58,4.03,6451
775,0.33,Premium,D,VS2,59.4,58.0,4.57,4.61,2.72,781
776,,Ideal,H,SI1,61.7,57.0,6.39,6.45,3.96,5161
777,,Very Good,D,SI1,62.8,55.0,5.19,5.22,3.27,1436
778,,Premium,,VS1,62.6,59.0,7.3,7.25,4.56,14375
779,1.51,Premium,F,SI1,62.2,59.0,7.33,7.36,4.56,12295
780,0.5,Very Good,J,VS2,62.8,59.0,5.01,5.04,3.17,1049
781,0.7,Premium,G,SI2,59.9,61.0,5.78,5.8,3.47,2166
782,0.9,Premium,E,SI1,61.0,60.0,6.19,6.14,3.78,3856
783,0.5,Ideal,F,VVS1,61.9,54.0,5.15,5.18,3.19,2023
784,1.04,Premium,H,SI2,61.5,59.0,6.57,6.53,4.02,4584
785,,Premium,I,SI1,62.6,58.0,6.73,6.68,4.2,5533
786,0.38,Ideal,E,VVS2,62.1,54.0,4.64,4.67,2.89,1158
787,0.41,Ideal,H,VS1,62.0,54.0,4.77,4.81,2.97,827
788,0.31,Ideal,F,VVS2,61.4,55.0,4.38,4.39,2.69,790
789,0.37,Premium,,VS1,61.3,58.0,4.56,4.59,2.79,666
790,0.72,Very Good,D,SI1,62.9,59.0,5.67,5.7,3.58,3007
791,0.3,Ideal,E,VS2,62.5,55.0,4.34,4.3,2.7,844
792,1.0,Very Good,,SI2,60.7,57.0,6.47,6.51,3.94,4290
793,0.32,Ideal,E,VS2,62.2,54.0,4.41,4.39,2.74,900
794,,Very Good,E,SI2,59.0,61.0,5.92,5.85,3.46,2368
795,0.41,Ideal,G,VS1,62.7,54.0,4.79,4.77,2.99,933
796,0.33,Ideal,,VVS1,61.9,57.0,4.47,4.44,2.76,936
797,1.11,Ideal,,SI1,61.7,59.0,6.65,6.62,4.1,5291
798,1.52,Good,F,SI2,64.2,60.0,7.24,7.19,4.62,8181
799,0.33,Ideal,F,VS2,61.1,56.0,4.45,4.49,2.73,854
800,0.52,Premium,,VS2,60.8,60.0,5.17,5.25,3.16,1605
801,0.32,Ideal,G,VS2,61.4,57.0,4.41,4.39,2.7,521
802,0.53,Ideal,,VS2,61.5,56.0,5.21,5.24,3.21,1546
803,1.24,Ideal,I,VS1,62.2,58.0,6.89,6.84,4.27,6368
804,1.03,Premium,F,VS1,62.0,58.0,6.46,6.39,3.98,7062
805,1.0,Premium,,SI2,61.8,60.0,6.32,6.31,3.91,4620
806,0.58,Very Good,E,IF,60.6,58.0,5.36,5.42,3.27,2763
807,0.33,Ideal,I,VVS2,62.1,54.0,4.38,4.4,2.72,579
808,0.25,Very Good,H,VVS1,62.9,56.0,3.98,4.02,2.5,526
809,,Ideal,G,IF,61.8,56.0,4.57,4.59,2.83,1090
810,1.02,Very Good,,SI2,63.1,56.0,6.38,6.43,4.04,4575
811,0.3,Ideal,,VVS1,62.0,55.0,4.3,4.32,2.67,1013
812,1.22,Premium,,VS2,61.8,58.0,6.86,6.82,4.23,9683
813,0.34,Ideal,,VS2,61.5,57.0,4.52,4.48,2.78,807
814,1.52,Premium,F,VVS1,60.2,60.0,7.45,7.49,4.49,18172
815,1.35,Premium,H,SI2,61.1,60.0,7.15,7.1,4.35,5633
816,1.39,Ideal,,SI1,62.9,57.0,7.14,7.1,4.45,7055
817,,Premium,H,VS2,61.2,60.0,7.53,7.5,4.6,11149
818,0.7,Fair,D,VS2,60.4,59.0,5.52,5.56,3.34,2352
819,0.33,Ideal,,VS1,62.1,54.0,4.44,4.47,2.77,663
820,0.6,Premium,E,SI1,59.6,61.0,5.48,5.51,3.28,1708
821,0.7,Very Good,I,SI1,60.2,58.0,5.79,5.75,3.47,2141
822,0.31,Ideal,H,VS2,60.8,57.0,4.37,4.39,2.66,471
823,0.9,Very Good,E,SI2,63.2,57.0,6.14,6.1,3.87,3629
824,,Ideal,,VS2,61.9,55.0,5.71,5.74,3.54,2322
825,,Ideal,G,VVS1,61.0,56.0,4.48,4.45,2.73,868
826,0.3,Ideal,D,VS2,62.9,57.0,4.27,4.3,2.69,710
827,0.32,Ideal,,VVS1,61.9,55.0,4.41,4.38,2.72,1012
828,0.7,Ideal,,SI1,60.4,56.0,5.76,5.79,3.48,2802
829,1.01,Ideal,F,SI1,62.6,55.0,6.38,6.44,4.01,5055
830,0.39,Very Good,G,VVS2,60.7,58.0,4.74,4.78,2.89,933
831,2.01,Ideal,H,SI2,60.6,60.0,8.08,8.17,4.92,15762
832,1.04,Premium,G,VS2,61.0,58.0,6.56,6.53,3.99,7305
833,,Good,,SI2,63.6,56.0,6.14,6.17,3.91,3546
834,0.53,Ideal,J,VS1,61.5,56.0,5.21,5.17,3.18,1436
835,,Very Good,D,SI2,63.2,58.0,6.05,6.08,3.84,3703
836,0.3,Ideal,E,VS2,62.3,56.0,4.37,4.34,2.72,844
837,1.02,Very Good,H,SI1,60.6,60.0,6.49,6.54,3.94,4702
838,,Good,E,VS1,62.3,58.0,5.66,5.69,3.53,2812
839,1.01,Premium,F,VS2,62.0,61.0,6.43,6.36,3.97,6468
840,0.41,Ideal,F,VS2,61.7,57.0,4.78,4.73,2.93,1107
841,1.63,Premium,G,VS1,62.4,58.0,7.54,7.49,4.68,14112
842,0.33,Ideal,F,VVS1,61.9,56.0,4.46,4.43,2.75,893
843,0.4,Premium,E,SI1,59.5,59.0,4.81,4.85,2.88,780
844,0.7,Ideal,,SI2,62.6,57.0,5.66,5.69,3.55,2085
845,1.0,Good,,I1,63.3,59.0,6.24,6.29,3.97,3114
846,0.27,Very Good,E,VVS1,62.5,59.0,4.11,4.13,2.58,642
847,0.57,Ideal,E,VS2,61.7,56.0,5.34,5.37,3.3,1825
848,0.41,Ideal,D,VS1,61.1,56.0,4.79,4.82,2.93,1096
849,0.3,Ideal,D,SI1,61.4,56.0,4.36,4.38,2.68,552
850,1.58,Good,D,SI1,62.6,58.0,7.43,7.46,4.67,12200
851,,Very Good,I,VVS1,62.4,59.0,5.66,5.68,3.54,2388
852,0.53,Ideal,,SI1,62.2,55.0,5.21,5.19,3.23,1400
853,,Very Good,D,SI2,60.1,58.0,6.55,6.59,3.95,4250
854,0.7,Premium,E,VS2,61.9,59.0,5.66,5.61,3.5,2837
855,,Ideal,,VVS2,61.7,57.0,4.36,4.39,2.69,707
856,1.47,Very Good,I,VVS2,62.4,58.0,7.22,7.18,4.49,9526
857,0.9,Good,E,VVS1,62.3,62.0,6.16,6.13,3.83,5167
858,0.35,Ideal,H,IF,61.4,54.0,4.59,4.56,2.81,1017
859,0.3,Very Good,I,SI1,62.8,57.0,4.23,4.25,2.67,394
860,,Premium,D,VS2,62.8,58.0,4.75,4.72,2.99,1050
861,1.08,Premium,I,VS1,58.2,60.0,6.8,6.71,3.92,5154
862,,Ideal,,VS2,61.3,57.0,6.66,6.72,4.1,7190
863,0.29,Very Good,I,SI1,62.2,58.0,4.26,4.28,2.66,465
864,1.59,Very Good,,VS2,63.0,59.0,7.39,7.45,4.69,14372
865,1.4,Very Good,H,SI2,62.5,58.0,7.17,7.12,4.48,7177
866,,Ideal,E,VS2,62.5,57.0,5.82,5.86,3.66,3091
867,,Premium,H,VS2,61.8,61.0,6.11,6.08,3.77,3881
868,,Very Good,E,VS2,59.4,57.0,6.6,6.65,3.92,6954
869,1.02,Premium,I,VS2,62.0,58.0,6.38,6.48,3.98,4029
870,0.5,Very Good,F,SI1,60.2,61.0,5.15,5.09,3.09,1250
871,0.5,Ideal,,SI2,61.9,57.0,5.1,5.05,3.14,1295
872,,Premium,F,SI2,62.3,58.0,6.19,6.15,3.84,3699
873,0.51,Ideal,G,VVS1,62.3,55.0,5.15,5.12,3.2,1883
874,0.24,Ideal,H,VVS1,61.6,57.0,4.03,4.05,2.48,557
875,0.3,Ideal,G,IF,62.1,57.0,4.28,4.3,2.66,895
876,1.0,Very Good,H,VS1,63.1,58.0,6.32,6.36,4.0,5302
877,,Premium,E,SI2,61.7,58.0,5.69,5.73,3.52,2364
878,0.52,Ideal,,SI1,61.8,55.0,5.16,5.2,3.21,1684
879,,Ideal,J,VS1,61.5,56.0,4.02,4.05,2.47,358
880,0.8,Premium,H,VS2,61.0,59.0,5.96,5.92,3.64,2810
881,,Very Good,F,VVS2,60.6,58.0,4.2,4.23,2.56,572
882,0.33,Ideal,F,VS1,61.4,56.0,4.47,4.48,2.75,780
883,0.35,Ideal,F,VS2,61.9,55.0,4.53,4.55,2.8,906
884,1.0,Premium,I,SI2,60.5,62.0,6.44,6.39,3.88,3656
885,0.36,Ideal,H,VS1,61.6,55.0,4.59,4.62,2.84,807
886,0.26,Very Good,H,VVS2,63.2,56.0,4.08,4.05,2.57,434
887,1.12,Ideal,,SI1,62.1,55.0,6.64,6.68,4.14,6216
888,1.01,Premium,F,VVS2,62.0,60.0,6.42,6.38,3.97,8501
889,1.33,Very Good,G,SI2,63.3,57.0,6.99,6.96,4.41,5996
890,0.71,Ideal,I,SI1,61.9,56.0,5.72,5.74,3.55,2167
891,0.7,Premium,F,SI1,60.8,59.0,5.78,5.73,3.49,2351
892,1.04,Premium,G,VS2,60.8,61.0,6.57,6.49,3.98,6153
893,1.26,Ideal,,VS1,61.9,55.0,7.0,7.02,4.32,9425
894,0.77,Ideal,E,SI1,62.3,57.0,5.84,5.89,3.64,2902
895,0.53,Ideal,H,VVS2,62.3,56.0,5.17,5.24,3.24,1749
896,1.05,Ideal,E,VS2,62.3,57.0,6.52,6.47,4.05,6765
897,1.01,Good,E,VVS2,63.1,60.0,6.34,6.38,4.01,8400
898,0.9,Premium,H,SI2,62.7,60.0,6.17,6.14,3.87,3220
899,1.14,Very Good,H,SI1,61.6,60.0,6.66,6.7,4.11,5335
900,0.7,Very Good,H,SI1,62.8,57.0,5.68,5.66,3.56,2330
901,0.56,Ideal,G,SI1,62.4,55.0,5.31,5.34,3.32,1565
902,2.03,Premium,I,SI2,62.3,55.0,8.04,8.08,5.02,12899
903,1.09,Ideal,F,SI2,61.3,54.0,6.62,6.66,4.07,4788
904,0.33,Premium,,VS2,59.3,58.0,4.49,4.54,2.68,781
905,,Ideal,,VVS2,62.4,57.0,4.68,4.65,2.91,855
906,0.9,Premium,,VS2,62.0,60.0,6.15,6.08,3.79,3720
907,0.46,Ideal,E,VS2,61.4,57.0,4.96,4.99,3.06,1060
908,0.4,Very Good,E,SI1,61.9,56.0,4.67,4.71,2.9,687
909,0.35,Ideal,E,VS1,61.9,56.0,4.52,4.53,2.8,829
910,0.7,Good,G,SI1,60.2,61.0,5.73,5.78,3.46,2275
911,0.54,Ideal,,VS1,61.7,56.0,5.2,5.24,3.22,1659
912,0.55,Premium,,VVS2,61.0,57.0,5.26,5.32,3.23,1879
913,,Ideal,G,SI2,61.9,56.0,5.25,5.27,3.25,1280
914,0.92,Ideal,G,SI2,61.1,57.0,6.24,6.27,3.82,3420
915,1.21,Good,I,VS1,63.7,57.0,6.74,6.69,4.28,4696
916,0.3,Ideal,,VS1,61.0,57.0,4.34,4.39,2.67,844
917,2.22,Premium,I,VS1,62.4,60.0,8.36,8.26,5.19,18709
918,2.03,Very Good,H,SI1,62.9,60.0,7.95,8.08,5.05,17452
919,0.52,Ideal,G,VS1,61.5,56.0,5.2,5.22,3.2,1847
920,1.01,Ideal,G,VS2,62.6,57.0,6.4,6.44,4.03,5880
921,1.21,Ideal,,VS2,61.7,57.0,6.84,6.88,4.23,7823
922,,Very Good,H,SI1,58.3,60.0,6.61,6.53,3.82,4413
923,1.01,Good,F,SI2,63.9,58.0,6.34,6.31,4.04,4654
924,,Ideal,I,VVS1,62.1,57.0,4.28,4.3,2.66,564
925,,Premium,H,SI2,60.5,58.0,6.92,6.88,4.17,5621
926,0.7,Very Good,G,SI1,61.2,60.0,5.71,5.75,3.51,2285
927,0.91,Very Good,G,SI2,62.4,59.0,6.2,6.17,3.86,3742
928,0.72,Ideal,I,VS1,61.4,56.0,5.82,5.78,3.55,2652
929,0.53,Ideal,D,VS2,60.7,57.0,5.21,5.25,3.17,1659
930,0.32,Ideal,D,VVS2,61.7,56.0,4.37,4.41,2.71,1041
931,1.04,Ideal,G,VS2,61.3,56.0,6.51,6.53,4.0,7548
932,0.33,Ideal,H,VS2,62.7,57.0,4.45,4.41,2.77,537
933,1.53,Ideal,E,SI1,62.3,57.0,7.34,7.37,4.58,13661
934,0.53,Ideal,I,VS2,61.6,55.0,5.2,5.23,3.21,1202
935,1.6,Premium,,VS1,60.5,58.0,7.57,7.58,4.57,14278
936,1.09,Premium,G,VS2,58.9,58.0,6.74,6.68,3.96,5902
937,1.01,Premium,E,VS2,62.7,60.0,6.37,6.41,4.01,6004
938,0.31,Very Good,E,VS2,62.9,58.0,4.3,4.27,2.69,680
939,0.75,Ideal,G,VS2,62.6,57.0,5.73,5.82,3.61,2723
940,1.01,Ideal,H,VVS2,61.8,56.0,6.42,6.46,3.98,6236
941,0.55,Ideal,E,SI1,62.4,56.0,5.25,5.28,3.3,1668
942,1.51,Premium,G,SI1,62.3,58.0,7.35,7.32,4.57,6212
943,0.7,Very Good,E,VS2,60.7,55.0,5.72,5.76,3.49,2867
944,2.05,Premium,,SI1,61.4,59.0,8.12,8.18,5.01,15398
945,,Premium,F,VS2,61.5,59.0,4.56,4.6,2.82,726
946,0.56,Ideal,,VVS2,61.0,56.0,5.3,5.34,3.24,2203
947,0.31,Ideal,I,VS1,61.2,56.0,4.38,4.41,2.69,709
948,,Premium,,SI1,62.6,55.0,6.78,6.75,4.23,5112
949,0.5,Good,,VVS1,58.0,62.0,5.17,5.2,3.02,1031
950,1.56,Ideal,H,VS2,62.0,55.0,7.37,7.47,4.62,13930
951,,Ideal,F,VS2,62.4,56.0,6.4,6.38,3.99,6728
952,0.32,Ideal,I,VS2,61.5,56.0,4.39,4.42,2.71,461
953,0.57,Ideal,E,VS2,61.2,54.0,5.34,5.37,3.28,1779
954,0.9,Premium,G,SI1,59.5,59.0,6.24,6.29,3.73,3774
955,0.27,Ideal,F,VS2,61.0,57.0,4.19,4.21,2.56,586
956,1.5,Premium,F,SI2,62.6,58.0,7.31,7.27,4.57,8334
957,1.51,Very Good,I,VS2,63.3,58.0,7.35,7.25,4.62,9139
958,1.06,Ideal,,SI1,61.9,56.0,6.52,6.55,4.04,5415
959,0.32,Ideal,D,VS2,62.3,55.0,4.4,4.4,2.74,805
960,0.91,Premium,H,VS1,63.0,59.0,6.15,6.11,3.85,3963
961,1.0,Very Good,,SI2,63.2,57.0,6.31,6.28,3.99,3276
962,0.32,Ideal,E,SI1,62.0,55.0,4.4,4.42,2.73,660
963,0.31,Ideal,,IF,61.3,56.0,4.37,4.41,2.69,1168
964,0.3,Ideal,F,IF,62.1,56.0,4.31,4.33,2.68,886
965,0.31,Ideal,D,SI1,61.1,56.0,4.35,4.37,2.66,571
966,0.57,Very Good,,SI1,60.2,57.0,5.42,5.37,3.25,1551
967,0.9,Very Good,,VS1,61.3,58.0,6.19,6.22,3.8,3596
968,0.42,Ideal,F,VVS1,61.9,56.0,4.84,4.81,2.99,1421
969,1.0,Premium,H,SI1,62.6,59.0,6.36,6.39,3.99,4641
970,1.52,Ideal,E,SI2,61.5,56.0,7.38,7.41,4.54,10512
971,0.5,Premium,G,SI2,62.2,58.0,5.09,5.06,3.15,949
972,0.32,Ideal,I,SI1,62.3,56.0,4.37,4.39,2.73,540
973,0.55,Ideal,H,SI1,61.8,54.0,5.23,5.25,3.24,1286
974,,Ideal,,VVS2,61.4,57.0,5.42,5.46,3.34,2462
975,1.26,Very Good,H,SI1,62.6,57.0,6.85,6.87,4.32,6586
976,,Fair,G,VS2,63.1,67.0,6.0,5.94,3.78,3290
977,0.5,Very Good,H,SI1,64.8,57.0,4.97,4.99,3.23,1017
978,0.51,Ideal,E,VS2,62.6,56.0,5.08,5.12,3.2,1659
979,,Ideal,I,SI1,61.9,56.0,4.52,4.49,2.78,478
980,0.38,Ideal,,VS2,62.4,56.0,4.67,4.64,2.91,791
981,1.02,Premium,F,VS2,61.0,59.0,6.54,6.47,3.95,7075
982,2.0,Very Good,,SI2,60.3,54.0,8.0,8.04,4.85,16064
983,0.61,Very Good,G,VS1,61.9,55.0,5.43,5.47,3.38,2420
984,0.3,Ideal,H,VS2,60.6,57.0,4.37,4.4,2.66,608
985,0.71,Ideal,E,SI1,62.2,57.0,5.69,5.74,3.56,2739
986,0.23,Ideal,,VVS2,61.2,57.0,3.94,3.98,2.42,530
987,1.5,Good,E,VS2,63.0,59.0,7.24,7.29,4.58,15303
988,1.39,Premium,I,SI2,62.0,59.0,7.18,7.15,4.42,7826
989,2.04,Ideal,G,SI1,62.9,54.0,8.09,8.18,5.11,18736
990,0.57,Ideal,G,VS2,61.7,55.0,5.32,5.36,3.29,1634
991,1.02,Ideal,G,VS2,61.0,56.0,6.54,6.48,3.98,6333
992,0.4,Premium,E,VS1,61.8,59.0,4.72,4.76,2.93,1125
993,,Very Good,E,SI2,62.6,58.0,5.7,5.73,3.57,2371
994,,Ideal,G,VVS2,62.5,54.0,4.43,4.38,2.76,907
995,0.35,Ideal,G,VVS1,62.0,55.0,4.53,4.56,2.82,1091
996,1.02,Good,F,SI1,63.9,59.0,6.31,6.34,4.04,4712
997,1.05,Very Good,I,SI2,60.3,59.0,6.54,6.58,3.95,3884
998,0.8,Very Good,G,SI1,63.5,58.0,5.84,5.88,3.7,2885
999,1.01,Premium,G,VVS2,62.3,58.0,6.39,6.44,4.0,6989
1000,1.02,Ideal,,SI2,62.7,57.0,6.39,6.43,4.02,5169
1001,2.01,Very Good,G,SI2,60.8,59.0,8.07,8.15,4.94,13588
1002,0.41,Good,,VVS2,63.1,55.0,4.72,4.74,2.99,827
1003,0.72,Ideal,,VS2,61.4,54.0,5.72,5.79,3.53,3172
1004,0.9,Good,D,SI1,63.9,54.0,6.09,6.06,3.88,4210
1005,,Ideal,,VS2,61.8,55.0,4.83,4.79,2.97,1087
1006,1.03,Ideal,H,SI1,62.2,58.0,6.44,6.49,4.02,5093
1007,0.7,Ideal,E,SI1,62.0,56.0,5.69,5.72,3.54,2766
1008,0.52,Ideal,E,VS2,61.9,57.0,5.14,5.17,3.19,1721
1009,,Ideal,G,SI2,62.7,56.0,6.73,6.66,4.21,4937
1010,1.56,Ideal,G,SI1,61.3,57.0,7.44,7.47,4.57,11864
1011,0.3,Premium,,SI1,62.1,59.0,4.29,4.32,2.67,709
1012,0.74,Ideal,G,VS1,61.3,57.0,5.85,5.85,3.59,2964
1013,0.3,Ideal,H,VS1,60.7,57.0,4.36,4.34,2.64,559
1014,0.42,Premium,F,VS1,60.3,58.0,4.88,4.83,2.93,1140
1015,0.31,Good,H,VVS1,63.3,58.0,4.31,4.33,2.73,707
1016,0.71,Good,D,SI1,58.2,60.0,5.89,5.81,3.4,2808
1017,,Premium,,SI2,58.0,61.0,6.47,6.34,3.71,4077
1018,,Ideal,E,SI1,62.8,57.0,4.55,4.6,2.87,649
1019,,Premium,F,VS1,61.6,58.0,4.76,4.77,2.94,1076
1020,1.0,Ideal,J,VS2,61.2,55.0,6.48,6.43,3.95,3447
1021,2.4,Good,F,SI2,63.7,55.0,8.4,8.35,5.3,18069
1022,,Ideal,G,IF,61.7,54.0,4.48,4.51,2.77,925
1023,0.3,Ideal,H,VS1,62.7,55.0,4.3,4.28,2.69,675
1024,0.78,Ideal,F,VS2,62.1,56.0,5.92,5.88,3.66,3238
1025,0.4,Very Good,J,VS2,64.1,57.0,4.66,4.7,3.0,700
1026,0.33,Ideal,D,SI2,62.0,56.0,4.51,4.46,2.78,631
1027,,Very Good,G,VVS2,63.7,55.0,5.08,5.05,3.21,1934
1028,0.32,Ideal,G,VVS1,61.9,57.0,4.38,4.42,2.72,818
1029,1.5,Very Good,H,VS1,63.3,59.0,7.2,7.24,4.57,11365
1030,1.5,Ideal,H,VS2,61.9,57.0,7.23,7.31,4.49,10455
1031,0.36,Good,D,SI1,63.1,56.0,4.52,4.55,2.88,663
1032,0.35,Premium,F,SI1,60.1,59.0,4.61,4.58,2.76,731
1033,0.72,Ideal,J,SI1,62.7,56.0,5.68,5.72,3.58,1937
1034,,Very Good,G,VS2,62.0,58.0,6.19,6.24,3.86,4887
1035,0.72,Premium,F,VS1,61.9,58.0,5.78,5.71,3.56,2843
1036,0.7,Ideal,,SI2,62.7,56.0,5.64,5.6,3.52,2100
1037,,Ideal,G,VS1,61.9,57.0,5.08,5.13,3.16,1746
1038,,Ideal,F,SI1,62.1,57.0,4.27,4.29,2.66,614
1039,1.01,Good,,SI1,64.3,58.0,6.3,6.25,4.03,4274
1040,0.34,Very Good,E,SI2,60.5,61.0,4.54,4.56,2.75,477
1041,1.22,Ideal,F,VVS2,61.7,56.0,6.79,6.86,4.21,9498
1042,1.2,Premium,F,SI1,62.4,59.0,6.74,6.68,4.2,5367
1043,0.47,Premium,,VS2,61.5,60.0,5.03,4.94,3.04,1103
1044,1.55,Very Good,E,VS2,62.6,58.0,7.32,7.41,4.61,15147
1045,0.3,Very Good,,VS2,63.1,55.0,4.24,4.28,2.69,508
1046,,Very Good,E,SI1,63.1,58.0,6.31,6.37,4.01,5291
1047,0.5,Very Good,,SI1,62.7,61.0,5.03,5.07,3.16,1197
1048,1.01,Ideal,E,I1,62.9,57.0,6.41,6.37,4.02,3603
1049,0.3,Ideal,H,VVS1,62.0,56.0,4.33,4.31,2.68,665
1050,0.77,Very Good,G,SI1,63.3,58.0,5.77,5.86,3.68,2721
1051,0.38,Ideal,,VVS1,61.9,56.0,4.63,4.67,2.88,1097
1052,0.71,Ideal,E,VS2,61.7,57.0,5.7,5.74,3.53,3047
1053,1.01,Good,,SI2,63.1,58.0,6.31,6.35,3.99,3527
1054,1.01,Ideal,I,SI1,61.8,56.0,6.47,6.44,3.99,4514
1055,1.2,Ideal,G,VS1,61.3,58.0,6.83,6.77,4.17,8803
1056,0.9,Very Good,,SI1,63.5,57.0,6.04,6.12,3.86,3749
1057,0.41,Ideal,E,VS1,62.0,55.0,4.77,4.82,2.97,1160
1058,1.02,Premium,F,VS2,61.7,54.0,6.52,6.49,4.01,6552
1059,1.16,Premium,I,SI1,62.1,59.0,6.73,6.68,4.17,4644
1060,1.0,Very Good,G,VS1,63.0,59.0,6.34,6.31,3.97,6726
1061,0.71,Ideal,,VVS1,62.8,55.0,5.68,5.72,3.58,3417
1062,1.07,Ideal,F,SI1,61.5,55.0,6.56,6.58,4.04,6039
1063,,Very Good,E,SI1,63.0,58.0,4.25,4.31,2.7,544
1064,1.2,Ideal,E,SI1,60.6,57.0,6.88,6.92,4.17,6896
1065,0.41,Ideal,E,VS2,62.6,54.0,4.78,4.76,2.98,905
1066,,Very Good,H,VS1,61.2,55.0,4.0,4.05,2.45,338
1067,2.01,Very Good,I,SI1,63.1,59.0,8.03,7.98,5.05,16329
1068,0.31,Ideal,,SI2,62.0,56.0,4.37,4.35,2.7,593
1069,,Good,H,SI1,63.7,57.0,5.65,5.72,3.62,3685
1070,,Ideal,G,VS1,61.3,57.0,7.0,6.95,4.28,9005
1071,0.38,Ideal,E,VS2,61.1,56.0,4.68,4.71,2.87,835
1072,0.36,Ideal,E,VVS2,61.8,56.0,4.57,4.6,2.84,810
1073,0.71,Ideal,G,SI1,61.4,56.0,5.73,5.7,3.51,2581
1074,1.14,Very Good,F,IF,60.1,58.0,6.78,6.83,4.09,10663
1075,0.5,Premium,G,VS2,62.1,61.0,5.12,5.09,3.17,1577
1076,0.94,Ideal,F,SI2,62.6,54.0,6.25,6.2,3.9,3690
1077,1.27,Premium,,VS2,62.0,60.0,6.93,6.87,4.28,9169
1078,0.32,Ideal,H,VS2,61.5,56.0,4.39,4.41,2.71,505
